title,price,phoneContact,companyName,location,imageLink
Lovely & Spacious 4 Bedroom Terrace Duplex,"₦80,000,000",08051280014,House Davanni Realty Ltd,"Ikota, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299092/06667176daaa5c-lovely-spacious-4-bedroom-terrace-duplex-terraced-duplexes-for-sale-ikota-lekki-lagos.jpg
Luxury 7 Bedroom Mansion,"₦350,000,000",+2348168129219,Hand Of God Construction Company Limited,"Akpu Road Asaba Okpanam Road, Asaba, Delta",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299084/0666715dfafad1-luxury-7-bedroom-mansion-for-sale-asaba-delta.jpeg
5 Bedroom Full Detached Duplex (carcass),"₦60,000,000",08065697600,Comfy Habitat Management Services,"Kabusa Garden, Lokoguma, Kabusa, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/2177675/066017a9fb3821-5-bedroom-full-detached-duplex-carcassis-detached-duplexes-for-sale-kabusa-abuja.jpeg
Brand New Contemporary 5 Bedroom Fully Detached Duplex With Bq & Pool,"₦220,000,000",09063665415,Lobia Properties,"Orchid, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299075/0666714e6a025b-brand-new-contemporary-5-bedroom-fully-detached-duplex-with-bq-pool-detached-duplexes-for-sale-lekki-lagos.jpeg
Luxury Built 5 Bedroom Fully Detached Dupl With Bq Available,"₦330,000,000",08034480045,Houselink Ltd,"Apo Resettlement By Zone E, Apo Resettlement, Apo, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/2262753/06648edc84f1b3-luxury-built-6-bedroom-fully-detached-dupl-with-bq-available-detached-duplexes-for-sale-apo-resettlement-apo-abuja.jpeg
2 Bedroom Terraced Bungalow,"₦36,000,000",08168064058,Aloda Limited,"Southpointe Estate, Orchid Road, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299074/0666714f38b496-2-bedroom-terraced-bungalow-terraced-bungalows-for-sale-lekki-lagos.jpg
An Extraordinary Contemporary 5 Bedroom Detached House With Pool & 2bq,"₦850,000,000",08185743206,The Meek Mohwald Company,"Lekki Phase 1, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299050/06667125885267-an-extraordinary-contemporary-5-bedroom-detached-house-with-pool-2bq-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg
Brand New 4-bedroom Fully Detached Duplex With 1 Bedroom Flat,"₦180,000,000",+2349158203670,Full-scale Development Company Ltd,"Gwarinpa Extension, Gwarinpa, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299053/06667124fe59e9-brand-new-4-bedroom-fully-detached-duplex-with-1-bedroom-flat-detached-duplexes-for-sale-gwarinpa-abuja.jpg
Newly Built & Well Spaced 4 Bedroom Semi Detached Duplex,"₦120,000,000",09063665415,Lobia Properties,"Orchid, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299052/06667129501a34-newly-built-well-spaced-4-bedroom-semi-detached-duplex-semi-detached-duplexes-for-sale-lekki-lagos.jpeg
Contemporary 4 Bedroom Semi Detached Duplex,"₦125,000,000",09135009033,Bimadek Properties Ventures,"Ikota, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299040/0666710cb116a0-contemporary-4-bedroom-semi-detached-duplex-semi-detached-duplexes-for-sale-ikota-lekki-lagos.jpg
6 Units Of New 2 Bedrooms Flat,"₦35,000,000",08167978798,Property4all Nigeria Ents,"Goodnews Estate, Sangotedo, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1849557/064cbbc650533f-6-units-of-new-2-bedrooms-flat-at-goodnews-estate-sangotedo-ajah-block-of-flats-for-sale-ajah-lagos.jpg
New Built 4 Bedrooms House Within A Serviced Residential Court,"₦430,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Lekki Phase 1, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2277087/066557b9b3dc76-new-built-4-bedroom-house-within-a-serviced-residential-court-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg
Fully Furnished Contemporary 5 Bedroom Maisonette,"₦1,400,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Banana Island, Ikoyi, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1360631/062b04bb69837b-fully-furnished-contemporary-5-bedroom-maisonette-terraced-duplexes-for-sale-banana-island-ikoyi-lagos.jpg
Elegant 4 Bedrooms Detached House With Private Premises ( New),"₦600,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Within Parkview Estate, Parkview, Ikoyi, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1410178/062ec636367cea-elegant-4-bedroom-semi-detached-house-with-private-premises-new-semi-detached-duplexes-for-sale-old-ikoyi-ikoyi-lagos.jpg
Luxury 4 Bedrooms Terraced Duplex Within A New Residential Court,"₦200,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Off Kusenla Road, Ikate Elegushi, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1513348/0635fa7d227a92-luxury-4-bedroom-terrace-duplex-within-a-new-residential-court-terraced-duplexes-for-sale-ikate-elegushi-lekki-lagos.jpg
Ample 4 Bedroom Detached Duplex Within Fully Serviced Premises,"₦500,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Within Osborne Phase 1 Estate, Osborne, Ikoyi, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1546870/063882b9a57c30-ample-5-bedroom-detached-duplex-within-partly-service-shared-premises-detached-duplexes-for-sale-ikoyi-lagos.jpg
